id,user_id,date,review_comment,score,picture_food,restaurant_id
1,36,Fri Sep 14 2018 00:03:36 GMT-0700 (Pacific Daylight Time),Dolor blanditiis recusandae nihil debitis cum. Perferendis soluta doloremque aut eveniet mollitia repellendus. Sunt qui ea quam quo. Ad dolores aut. Voluptas quia at voluptates in natus totam id qui quibusdam. Corporis voluptatem maiores voluptatum.,https://s3-us-west-1.amazonaws.com/hrfrontendcapstone/regular_3.png,https://s3-us-west-1.amazonaws.com/hrfrontendcapstone/3.jpeg,47
2,83,Fri Jun 08 2018 05:32:03 GMT-0700 (Pacific Daylight Time),Optio omnis ut aspernatur quas et distinctio quo quibusdam. Quisquam ea voluptatem est aut ipsum aut tenetur. Nihil deserunt autem omnis enim.,https://s3-us-west-1.amazonaws.com/hrfrontendcapstone/regular_5.png,https://s3-us-west-1.amazonaws.com/hrfrontendcapstone/7.jpeg,31
3,17,Tue Oct 23 2018 12:50:46 GMT-0700 (Pacific Daylight Time),Sint earum corrupti praesentium quis. Nihil minus tempore. Modi sit non ullam. Et aut dolores minus hic suscipit et ut molestiae. Et quaerat illum autem.,https://s3-us-west-1.amazonaws.com/hrfrontendcapstone/regular_1.png,https://s3-us-west-1.amazonaws.com/hrfrontendcapstone/6.jpeg,31
4,3,Wed Jun 06 2018 13:52:08 GMT-0700 (Pacific Daylight Time),Repellendus cupiditate nam veritatis. Sint deserunt quia voluptatem blanditiis voluptatibus natus. Explicabo fuga quisquam alias sunt sit vitae nesciunt culpa quo. Quia dolores odio consectetur provident repellendus veniam in. Nulla distinctio quia modi similique cupiditate dolor perferendis eum.,https://s3-us-west-1.amazonaws.com/hrfrontendcapstone/regular_2.png,https://s3-us-west-1.amazonaws.com/hrfrontendcapstone/2.jpeg,8
5,40,Tue Jan 30 2018 23:40:22 GMT-0800 (Pacific Standard Time),Maiores quam enim aut aut sapiente aut placeat autem laborum. Et saepe sunt assumenda aut animi in ut eos. Quis rem quos aliquam eos architecto inventore. Ut quos consequatur et. Cumque ut ullam odit. Ipsum rerum tenetur et veritatis excepturi minima iure.,https://s3-us-west-1.amazonaws.com/hrfrontendcapstone/regular_8.png,https://s3-us-west-1.amazonaws.com/hrfrontendcapstone/9.jpeg,7
6,75,Fri Feb 02 2018 20:47:06 GMT-0800 (Pacific Standard Time),Iusto impedit fugiat qui rerum nisi id itaque qui qui. Id quis hic est quis omnis nihil. Harum et et doloribus voluptatem quod eos. Sunt alias delectus ducimus ex quia. Nobis dolor veritatis sint recusandae.,https://s3-us-west-1.amazonaws.com/hrfrontendcapstone/regular_9.png,https://s3-us-west-1.amazonaws.com/hrfrontendcapstone/2.jpeg,78
7,100,Thu Oct 25 2018 07:43:02 GMT-0700 (Pacific Daylight Time),Qui explicabo sit officia asperiores iusto sed aliquid ipsam. Debitis et rerum blanditiis et quis sit. Quis suscipit aut ut eos suscipit. Molestiae aperiam aut tenetur velit tempora cupiditate accusamus. Occaecati laudantium aut pariatur quia similique. Ratione quo inventore quia rerum amet dolorem voluptatum ut qui.,https://s3-us-west-1.amazonaws.com/hrfrontendcapstone/regular_1.png,https://s3-us-west-1.amazonaws.com/hrfrontendcapstone/7.jpeg,90
8,75,Thu Feb 22 2018 12:55:29 GMT-0800 (Pacific Standard Time),Sed corrupti enim. Dolores vitae omnis voluptatem eos esse maxime rerum tempora nobis. Nesciunt voluptas excepturi quod omnis ab qui dolor. Est rerum quia ipsam ipsam quia distinctio ut.,https://s3-us-west-1.amazonaws.com/hrfrontendcapstone/regular_6.png,https://s3-us-west-1.amazonaws.com/hrfrontendcapstone/4.jpeg,19
9,89,Wed Apr 25 2018 00:30:59 GMT-0700 (Pacific Daylight Time),Quia culpa reprehenderit ut est expedita. Aliquam et quaerat molestias similique eos. Eos explicabo excepturi expedita eligendi doloribus nam autem ullam quaerat. Rerum qui sapiente quo dolorum odio. Rerum quo maxime quis ut non pariatur enim ad ut.,https://s3-us-west-1.amazonaws.com/hrfrontendcapstone/regular_1.png,https://s3-us-west-1.amazonaws.com/hrfrontendcapstone/2.jpeg,52
10,33,Mon Jan 22 2018 23:34:18 GMT-0800 (Pacific Standard Time),Vero nisi ducimus porro et provident quia id. Non officia deleniti nulla ipsa nostrum quod nam praesentium. Nulla labore et excepturi distinctio voluptatem molestiae rerum inventore. Dolor maxime libero corporis perspiciatis sit officiis aut possimus. Eos quidem consequatur enim labore eos nostrum et accusantium voluptatum.,https://s3-us-west-1.amazonaws.com/hrfrontendcapstone/regular_2.png,https://s3-us-west-1.amazonaws.com/hrfrontendcapstone/2.jpeg,99
11,27,Tue Jul 03 2018 09:57:38 GMT-0700 (Pacific Daylight Time),Cum illum animi. Sapiente animi sapiente error. Excepturi eaque et eius error.,https://s3-us-west-1.amazonaws.com/hrfrontendcapstone/regular_6.png,https://s3-us-west-1.amazonaws.com/hrfrontendcapstone/4.jpeg,84
12,29,Thu Jul 19 2018 21:11:10 GMT-0700 (Pacific Daylight Time),Molestiae debitis adipisci tempore dolorum quo. Beatae et rem. Velit aut occaecati et accusantium recusandae. Natus velit unde ut. Ut ut et magni beatae omnis qui.,https://s3-us-west-1.amazonaws.com/hrfrontendcapstone/regular_5.png,https://s3-us-west-1.amazonaws.com/hrfrontendcapstone/6.jpeg,78
